"","STNID","NAME","CTRY","COUNTRY_NAME","ISO2C","ISO3C","STATE","LATITUDE","LONGITUDE","ELEVATION","BEGIN","END","YEARMODA","YEAR","MONTH","DAY","YDAY","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH"
"1","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-01,2000,1,1,1,6.1,24,5.6,24,1024.6,20,NA,0,1.9,24,3.1,21,5.7,NA,7.4,NA,4.2,NA,0.76,"E",NA,1,1,0,0,0,0,0.9,0.9,96.6
"2","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-02,2000,1,2,2,6.8,24,5.9,24,1028.6,16,NA,0,6.6,24,4.1,24,7.2,NA,8.6,NA,4.5,NA,0,"E",NA,0,1,0,0,0,0,0.9,1,94
"3","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-03,2000,1,3,3,6.9,24,5.1,24,1023.8,19,NA,0,10.8,24,7.7,24,10,NA,7.5,NA,6,"*",0.76,"E",NA,0,1,0,0,0,0,0.9,1,88.3
"4","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-04,2000,1,4,4,7.4,24,5.7,24,1016.7,19,NA,0,9.7,24,7.2,24,9.3,NA,9.2,NA,6,"*",9.91,"F",NA,0,1,0,0,0,0,0.9,1,89
"5","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-05,2000,1,5,5,5.2,22,3.1,22,1020.6,21,NA,0,15.1,22,4.1,22,6,7.7,8.2,NA,2,NA,0.76,"E",NA,0,0,0,0,0,0,0.8,0.9,86.3
"6","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-06,2000,1,6,6,7.3,23,5,23,1017.6,21,NA,0,11.9,23,5.7,23,8,NA,10.2,NA,4.6,NA,3.05,"E",NA,0,1,0,0,0,0,0.9,1,85.3
"7","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-07,2000,1,7,7,6.2,24,4.1,24,1022.2,19,NA,0,8.5,24,5.5,24,7.7,NA,7.4,"*",4.8,"*",0,"E",NA,0,1,0,0,0,0,0.8,0.9,86.4
"8","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-08,2000,1,8,8,5.8,19,4.2,19,1018.9,15,NA,0,8.2,19,6,19,8,NA,7.6,NA,4,NA,1.02,"E",NA,0,1,0,0,0,0,0.8,0.9,89.5
"9","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-09,2000,1,9,9,3.9,22,2.3,22,1026.7,17,NA,0,9.3,22,2,18,3,NA,6.4,NA,1.2,"*",0,"C",NA,0,0,0,0,0,0,0.7,0.8,89.3
"10","064580-99999","BEAUVECHAIN","BE","BELGIUM","BE","BEL","",50.759,4.768,112.77,19730101,20240909,2000-01-10,2000,1,10,10,1.3,24,-0.1,24,1036.2,19,NA,0,6.1,24,1.5,19,3,NA,4.6,NA,-1.2,NA,0,"D",NA,1,0,0,0,0,0,0.6,0.7,90.4
