"","DATE","ur","inf","rgdp_gr","tbill"
"1",1948-01-01,3.7,0.74806,1.59349,0.97
"2",1948-04-01,3.7,0.81956,1.83723,1
"3",1948-07-01,3.8,1.88981,0.53853,1
"4",1948-10-01,3.8,0.33413,0.15534,1.12
"5",1949-01-01,4.6,-0.50292,-1.39052,1.17
"6",1949-04-01,5.9,-1.02459,-0.36338,1.17
"7",1949-07-01,6.7,-0.57281,1.12133,1.02
"8",1949-10-01,7,0.01388,-0.93664,1.05
"9",1950-01-01,6.4,-0.24984,4.03739,1.07
"10",1950-04-01,5.6,0.33396,3.04502,1.15
"11",1950-07-01,4.6,2.12191,3.91302,1.16
"12",1950-10-01,4.2,1.98275,1.76089,1.31
"13",1951-01-01,3.5,3.682,1.26067,1.34
"14",1951-04-01,3.1,0.66144,1.66154,1.47
"15",1951-07-01,3.2,0.05104,1.99292,1.56
"16",1951-10-01,3.4,1.11586,0.16892,1.54
"17",1952-01-01,3.1,-0.06306,1.00725,1.57
"18",1952-04-01,3,0.15144,0.10829,1.57
"19",1952-07-01,3.2,1.12777,0.67159,1.81
"20",1952-10-01,2.8,0.27413,3.29975,1.74
"21",1953-01-01,2.7,0.01864,1.8724,1.96
"22",1953-04-01,2.6,0.19257,0.75732,2.19
"23",1953-07-01,2.7,0.3844,-0.60806,2.04
"24",1953-10-01,3.7,0.21617,-1.58467,1.38
"25",1954-01-01,5.2,0.30815,-0.47485,1.18
"26",1954-04-01,5.8,0.06758,0.12579,0.97
"27",1954-07-01,6,0.1535,1.12632,0.72
"28",1954-10-01,5.4,0.25748,2.0048,0.98
"29",1955-01-01,4.7,0.48306,2.8767,1.22
"30",1955-04-01,4.4,0.40163,1.65735,1.59
"31",1955-07-01,4.1,0.73944,1.33317,1.6
"32",1955-10-01,4.2,0.99874,0.55875,2.23
"33",1956-01-01,4,0.99482,-0.45318,2.41
"34",1956-04-01,4.2,0.58393,0.78382,2.6
"35",1956-07-01,4.1,1.28423,-0.12569,2.31
"36",1956-10-01,4.1,0.38791,1.63606,2.9
"37",1957-01-01,4,1.40146,0.61525,3.11
"38",1957-04-01,4.1,0.68252,-0.24229,3.07
"39",1957-07-01,4.2,0.60445,0.9638,3.16
"40",1957-10-01,4.9,0.00562,-1.05388,3.58
"41",1958-01-01,6.3,1.09489,-2.70521,2.44
"42",1958-04-01,7.4,0.28881,0.61082,1.13
"43",1958-07-01,7.3,0.6258,2.34566,0.91
"44",1958-10-01,6.4,0.47331,2.33042,2.63
"45",1959-01-01,5.8,0.13694,2.02138,2.82
"46",1959-04-01,5.1,0.09846,2.5274,2.95
"47",1959-07-01,5.3,0.2787,-0.11876,3.2
"48",1959-10-01,5.6,0.41962,0.34949,4.05
"49",1960-01-01,5.2,0.42329,2.244,4.35
"50",1960-04-01,5.2,0.31883,-0.46704,3.23
"51",1960-07-01,5.6,0.3663,0.16229,2.3
"52",1960-10-01,6.3,0.27909,-1.28214,2.3
"53",1961-01-01,6.8,0.23014,0.59588,2.24
"54",1961-04-01,7,0.22428,1.86926,2.29
"55",1961-07-01,6.8,0.30902,1.6156,2.24
"56",1961-10-01,6.2,0.34525,2.03536,2.3
"57",1962-01-01,5.6,0.59284,1.79327,2.72
"58",1962-04-01,5.5,0.13681,1.10517,2.73
"59",1962-07-01,5.6,0.24172,0.92342,2.92
"60",1962-10-01,5.5,0.31453,0.24572,2.74
"61",1963-01-01,5.8,0.22993,1.3062,2.91
"62",1963-04-01,5.7,0.19291,1.25115,2.9
"63",1963-07-01,5.5,0.19774,1.88341,3.18
"64",1963-10-01,5.6,0.76344,0.76228,3.45
"65",1964-01-01,5.5,0.29894,2.24196,3.52
"66",1964-04-01,5.2,0.26721,1.15032,3.47
"67",1964-07-01,5,0.39975,1.35936,3.46
"68",1964-10-01,5,0.49005,0.27757,3.57
"69",1965-01-01,4.9,0.5029,2.45629,3.81
"70",1965-04-01,4.7,0.42962,1.35654,3.93
"71",1965-07-01,4.4,0.36739,2.02862,3.84
"72",1965-10-01,4.1,0.64183,2.41179,4.03
"73",1966-01-01,3.9,0.6477,2.45435,4.59
"74",1966-04-01,3.8,0.85639,0.33286,4.62
"75",1966-07-01,3.8,1.03073,0.65829,4.8
"76",1966-10-01,3.7,0.91819,0.8097,5.35
"77",1967-01-01,3.8,0.45732,0.88042,4.72
"78",1967-04-01,3.8,0.53671,0.02297,3.84
"79",1967-07-01,3.8,0.97712,0.796,4.21
"80",1967-10-01,3.9,1.10456,0.7644,4.56
"81",1968-01-01,3.7,1.09249,2.05978,5
"82",1968-04-01,3.5,1.04835,1.69825,5.38
"83",1968-07-01,3.5,0.9872,0.6849,5.31
"84",1968-10-01,3.4,1.40749,0.43266,5.35
"85",1969-01-01,3.4,1.03985,1.5748,6.14
"86",1969-04-01,3.4,1.28975,0.29217,6.11
"87",1969-07-01,3.6,1.43032,0.63197,7
"88",1969-10-01,3.6,1.29407,-0.46925,7
"89",1970-01-01,4.2,1.4176,-0.15716,7.87
"90",1970-04-01,4.8,1.38523,0.1809,6.51
"91",1970-07-01,5.2,0.78841,0.89112,6.45
"92",1970-10-01,5.8,1.28189,-1.06222,5.91
"93",1971-01-01,5.9,1.51233,2.75807,4.44
"94",1971-04-01,5.9,1.31055,0.56699,3.86
"95",1971-07-01,6,1.00657,0.79794,5.4
"96",1971-10-01,6,0.80579,0.27966,4.46
"97",1972-01-01,5.8,1.5485,1.788,3.38
"98",1972-04-01,5.7,0.58942,2.37085,3.71
"99",1972-07-01,5.6,0.96779,0.95832,3.98
"100",1972-10-01,5.3,1.31796,1.64618,4.74
"101",1973-01-01,5,1.18256,2.55968,5.41
"102",1973-04-01,4.9,1.54858,1.15664,6.26
"103",1973-07-01,4.8,1.94936,-0.53319,8.01
"104",1973-10-01,4.8,1.97912,0.95388,7.22
"105",1974-01-01,5.1,1.92341,-0.87824,7.77
"106",1974-04-01,5.2,2.38604,0.25664,8.33
"107",1974-07-01,5.6,2.96029,-0.98939,7.55
"108",1974-10-01,6.6,2.98786,-0.39397,7.46
"109",1975-01-01,8.2,2.31969,-1.21542,6.26
"110",1975-04-01,8.9,1.48798,0.76325,5.61
"111",1975-07-01,8.5,1.86356,1.68464,6.13
"112",1975-10-01,8.3,1.7674,1.30666,5.96
"113",1976-01-01,7.7,1.08617,2.27423,4.87
"114",1976-04-01,7.6,1.06588,0.75039,4.86
"115",1976-07-01,7.7,1.35596,0.49133,5.23
"116",1976-10-01,7.8,1.809,0.72564,4.92
"117",1977-01-01,7.5,1.6832,1.16151,4.62
"118",1977-04-01,7.1,1.42776,1.98599,4.54
"119",1977-07-01,6.9,1.21801,1.78861,5.19
"120",1977-10-01,6.6,2.19296,-0.02018,6.16
"121",1978-01-01,6.3,1.46417,0.34123,6.44
"122",1978-04-01,6,1.84261,3.93462,6.29
"123",1978-07-01,6,1.66184,0.97984,7.01
"124",1978-10-01,5.9,2.11155,1.32223,7.99
"125",1979-01-01,5.9,1.78623,0.16678,9.35
"126",1979-04-01,5.7,2.46677,0.09441,9.46
"127",1979-07-01,5.9,2.16503,0.71852,9.24
"128",1979-10-01,5.9,2.01523,0.27582,11.7
"129",1980-01-01,6.3,2.10386,0.32261,12
"130",1980-04-01,7.3,2.23837,-2.04959,13.2
"131",1980-07-01,7.7,2.28695,-0.18661,8.06
"132",1980-10-01,7.4,2.77092,1.85057,11.62
"133",1981-01-01,7.4,2.53678,2.07699,15.02
"134",1981-04-01,7.4,1.89143,-0.79758,13.69
"135",1981-07-01,7.4,1.7694,1.21521,14.95
"136",1981-10-01,8.2,1.82405,-1.2454,13.54
"137",1982-01-01,8.8,1.35891,-1.64229,12.28
"138",1982-04-01,9.4,1.21011,0.54291,12.7
"139",1982-07-01,9.9,1.42278,-0.38546,11.35
"140",1982-10-01,10.7,1.08571,0.07841,7.71
"141",1983-01-01,10.4,0.81174,1.2434,7.86
"142",1983-04-01,10.1,0.73136,2.24764,8.21
"143",1983-07-01,9.4,1.01927,1.97282,9.08
"144",1983-10-01,8.5,0.73428,2.06696,8.64
"145",1984-01-01,7.9,1.26919,1.93974,8.9
"146",1984-04-01,7.5,0.85697,1.72604,9.69
"147",1984-07-01,7.4,0.80267,0.9711,10.12
"148",1984-10-01,7.3,0.63969,0.8153,9.74
"149",1985-01-01,7.3,1.10903,0.9435,7.76
"150",1985-04-01,7.3,0.56972,0.84566,7.95
"151",1985-07-01,7.2,0.41022,1.56239,7.08
"152",1985-10-01,7,0.65496,0.75904,7.16
"153",1986-01-01,7,0.50896,0.96177,7.07
"154",1986-04-01,7.2,0.52722,0.40155,6.06
"155",1986-07-01,7,0.56909,0.9644,5.83
"156",1986-10-01,6.8,0.67207,0.48321,5.18
"157",1987-01-01,6.6,0.93209,0.55358,5.43
"158",1987-04-01,6.3,0.57094,1.06353,5.64
"159",1987-07-01,6,0.78485,0.86801,5.69
"160",1987-10-01,5.9,0.76643,1.71017,6.13
"161",1988-01-01,5.7,0.82016,0.51757,5.81
"162",1988-04-01,5.5,0.93922,1.28458,5.91
"163",1988-07-01,5.5,1.12859,0.51627,6.73
"164",1988-10-01,5.3,0.75834,1.33515,7.35
