"Kreisschlüssel";"Kreis";"Abs_tot";"Quote_tot";"ErwPers";"BuLa"
1001;"Flensburg, Stadt";1256;2.6;48307.6923076923;"Schleswig-Holstein"
1002;"Kiel, Landeshauptstadt";2779;2.2;126318.181818182;"Schleswig-Holstein"
1003;"Lübeck, Hansestadt";2214;2.1;105428.571428571;"Schleswig-Holstein"
1004;"Neumünster, Stadt";1048;2.6;40307.6923076923;"Schleswig-Holstein"
1051;"Dithmarschen";1255;1.9;66052.6315789474;"Schleswig-Holstein"
1053;"Herzogtum Lauenburg";1859;1.9;97842.1052631579;"Schleswig-Holstein"
1054;"Nordfriesland";1637;1.8;90944.4444444444;"Schleswig-Holstein"
1055;"Ostholstein";1685;1.7;99117.6470588235;"Schleswig-Holstein"
1056;"Pinneberg";3406;2.1;162190.476190476;"Schleswig-Holstein"
1057;"Plön";1321;2.1;62904.7619047619;"Schleswig-Holstein"
1058;"Rendsburg-Eckernförde";2945;2.2;133863.636363636;"Schleswig-Holstein"
1059;"Schleswig-Flensburg";2276;2.2;103454.545454545;"Schleswig-Holstein"
1060;"Segeberg";2714;1.9;142842.105263158;"Schleswig-Holstein"
1061;"Steinburg";1723;2.5;68920;"Schleswig-Holstein"
1062;"Stormarn";2165;1.8;120277.777777778;"Schleswig-Holstein"
2000;"Hamburg, Freie und Hansestadt";21923;2.3;953173.913043478;"Hamburg"
3101;"Braunschweig, Stadt";2484;1.9;130736.842105263;"Niedersachsen"
3102;"Salzgitter, Stadt";980;1.9;51578.9473684211;"Niedersachsen"
3103;"Wolfsburg, Stadt";855;1.3;65769.2307692308;"Niedersachsen"
3151;"Gifhorn";1446;1.6;90375;"Niedersachsen"
3152;"Göttingen";3291;2.6;126576.923076923;"Niedersachsen"
3153;"Goslar";1447;2.1;68904.7619047619;"Niedersachsen"
3154;"Helmstedt";738;1.6;46125;"Niedersachsen"
3155;"Northeim";1647;2.4;68625;"Niedersachsen"
3156;"Osterode am Harz";863;2.3;37521.7391304348;"Niedersachsen"
3157;"Peine";1686;2.4;70250;"Niedersachsen"
3158;"Wolfenbüttel";1184;1.9;62315.7894736842;"Niedersachsen"
3241;"Region Hannover";11928;2;596400;"Niedersachsen"
3251;"Diepholz";2152;1.9;113263.157894737;"Niedersachsen"
3252;"Hameln-Pyrmont";1719;2.3;74739.1304347826;"Niedersachsen"
3254;"Hildesheim";3298;2.3;143391.304347826;"Niedersachsen"
3255;"Holzminden";907;2.5;36280;"Niedersachsen"
3256;"Nienburg (Weser)";1433;2.2;65136.3636363636;"Niedersachsen"
3257;"Schaumburg";1705;2.1;81190.4761904762;"Niedersachsen"
3351;"Celle";1803;2;90150;"Niedersachsen"
3352;"Cuxhaven";2042;2;102100;"Niedersachsen"
3353;"Harburg";2711;2.1;129095.238095238;"Niedersachsen"
3354;"Lüchow-Dannenberg";681;3.1;21967.7419354839;"Niedersachsen"
3355;"Lüneburg";1798;2;89900;"Niedersachsen"
3356;"Osterholz";1131;1.9;59526.3157894737;"Niedersachsen"
3357;"Rotenburg (Wümme)";1708;2;85400;"Niedersachsen"
3358;"Heidekreis";1666;2.3;72434.7826086956;"Niedersachsen"
3359;"Stade";2233;2.1;106333.333333333;"Niedersachsen"
3360;"Uelzen";1142;2.5;45680;"Niedersachsen"
3361;"Verden";1515;2.1;72142.8571428571;"Niedersachsen"
3401;"Delmenhorst, Stadt";913;2.3;39695.652173913;"Niedersachsen"
3402;"Emden, Stadt";716;2.8;25571.4285714286;"Niedersachsen"
3403;"Oldenburg (Oldenburg), Stadt";1754;2;87700;"Niedersachsen"
3404;"Osnabrück, Stadt";1932;2.3;84000;"Niedersachsen"
3405;"Wilhelmshaven, Stadt";898;2.4;37416.6666666667;"Niedersachsen"
3451;"Ammerland";1460;2.3;63478.2608695652;"Niedersachsen"
3452;"Aurich";2130;2.2;96818.1818181818;"Niedersachsen"
3453;"Cloppenburg";1913;2.2;86954.5454545454;"Niedersachsen"
3454;"Emsland";3343;2;167150;"Niedersachsen"
3455;"Friesland";955;2;47750;"Niedersachsen"
3456;"Grafschaft Bentheim";1264;1.8;70222.2222222222;"Niedersachsen"
3457;"Leer";2354;2.8;84071.4285714286;"Niedersachsen"
3458;"Oldenburg";1433;2.1;68238.0952380952;"Niedersachsen"
3459;"Osnabrück";4111;2.1;195761.904761905;"Niedersachsen"
3460;"Vechta";1350;1.7;79411.7647058823;"Niedersachsen"
3461;"Wesermarsch";1057;2.3;45956.5217391304;"Niedersachsen"
3462;"Wittmund";613;2.2;27863.6363636364;"Niedersachsen"
4011;"Bremen, Stadt";5962;2.1;283904.761904762;"Bremen"
4012;"Bremerhaven, Stadt";1241;2.2;56409.0909090909;"Bremen"
5111;"Düsseldorf, Stadt";7355;2.3;319782.608695652;"NRW"
5112;"Duisburg, Stadt";6448;2.6;248000;"NRW"
5113;"Essen, Stadt";6998;2.4;291583.333333333;"NRW"
5114;"Krefeld, Stadt";3350;2.9;115517.24137931;"NRW"
5116;"Mönchengladbach, Stadt";3340;2.5;133600;"NRW"
5117;"Mülheim an der Ruhr, Stadt";1695;2;84750;"NRW"
5119;"Oberhausen, Stadt";2275;2.1;108333.333333333;"NRW"
5120;"Remscheid, Stadt";1483;2.5;59320;"NRW"
5122;"Solingen, Klingenstadt";2423;2.9;83551.724137931;"NRW"
5124;"Wuppertal, Stadt";4760;2.7;176296.296296296;"NRW"
5154;"Kleve";4291;2.7;158925.925925926;"NRW"
5158;"Mettmann";5459;2.1;259952.380952381;"NRW"
5162;"Rhein-Kreis Neuss";5173;2.2;235136.363636364;"NRW"
5166;"Viersen";4393;2.8;156892.857142857;"NRW"
5170;"Wesel";5222;2.2;237363.636363636;"NRW"
5314;"Bonn, Stadt";3364;2.1;160190.476190476;"NRW"
5315;"Köln, Stadt";13690;2.5;547600;"NRW"
5316;"Leverkusen, Stadt";2125;2.6;81730.7692307692;"NRW"
5334;"Städteregion Aachen";6669;2.3;289956.52173913;"NRW"
5358;"Düren";3083;2.3;134043.47826087;"NRW"
5362;"Rhein-Erft-Kreis";5959;2.5;238360;"NRW"
5366;"Euskirchen";2354;2.3;102347.826086957;"NRW"
5370;"Heinsberg";3565;2.8;127321.428571429;"NRW"
5374;"Oberbergischer Kreis";3493;2.4;145541.666666667;"NRW"
5378;"Rheinisch-Bergischer Kreis";3271;2.3;142217.391304348;"NRW"
5382;"Rhein-Sieg-Kreis";6288;2.1;299428.571428571;"NRW"
5512;"Bottrop, Stadt";1355;2.3;58913.0434782609;"NRW"
5513;"Gelsenkirchen, Stadt";3066;2.5;122640;"NRW"
5515;"Münster, Stadt";3217;2.1;153190.476190476;"NRW"
5554;"Borken";4033;2;201650;"NRW"
5558;"Coesfeld";2183;1.9;114894.736842105;"NRW"
5562;"Recklinghausen";8049;2.5;321960;"NRW"
5566;"Steinfurt";4979;2.1;237095.238095238;"NRW"
5570;"Warendorf";3023;2;151150;"NRW"
5711;"Bielefeld, Stadt";4246;2.6;163307.692307692;"NRW"
5754;"Gütersloh";4530;2.3;196956.52173913;"NRW"
5758;"Herford";3179;2.4;132458.333333333;"NRW"
5762;"Höxter";1701;2.3;73956.5217391304;"NRW"
5766;"Lippe";4060;2.3;176521.739130435;"NRW"
5770;"Minden-Lübbecke";3989;2.5;159560;"NRW"
5774;"Paderborn";3483;2.2;158318.181818182;"NRW"
5911;"Bochum, Stadt";4545;2.5;181800;"NRW"
5913;"Dortmund, Stadt";7562;2.6;290846.153846154;"NRW"
5914;"Hagen, Stadt der FernUniversi.";2416;2.5;96640;"NRW"
5915;"Hamm, Stadt";1970;2.2;89545.4545454545;"NRW"
5916;"Herne, Stadt";2121;2.8;75750;"NRW"
5954;"Ennepe-Ruhr-Kreis";4301;2.5;172040;"NRW"
5958;"Hochsauerlandkreis";3038;2.1;144666.666666667;"NRW"
5962;"Märkischer Kreis";5025;2.2;228409.090909091;"NRW"
5966;"Olpe";1562;2;78100;"NRW"
5970;"Siegen-Wittgenstein";3083;2;154150;"NRW"
5974;"Soest";3763;2.3;163608.695652174;"NRW"
5978;"Unna";4911;2.4;204625;"NRW"
6411;"Darmstadt, Wissenschaftsstadt";1305;1.7;76764.7058823529;"Hessen"
6412;"Frankfurt am Main, Stadt";7759;2.2;352681.818181818;"Hessen"
6413;"Offenbach am Main, Stadt";1916;3;63866.6666666667;"Hessen"
6414;"Wiesbaden, Landeshauptstadt";2939;2;146950;"Hessen"
6431;"Bergstraße";2374;1.7;139647.058823529;"Hessen"
6432;"Darmstadt-Dieburg";2748;1.8;152666.666666667;"Hessen"
6433;"Groß-Gerau";2525;1.8;140277.777777778;"Hessen"
6434;"Hochtaunuskreis";2302;2;115100;"Hessen"
6435;"Main-Kinzig-Kreis";4622;2.1;220095.238095238;"Hessen"
6436;"Main-Taunus-Kreis";2673;2.2;121500;"Hessen"
6437;"Odenwaldkreis";1096;2.1;52190.4761904762;"Hessen"
6438;"Offenbach";4554;2.5;182160;"Hessen"
6439;"Rheingau-Taunus-Kreis";1845;1.9;97105.2631578947;"Hessen"
6440;"Wetteraukreis";3158;2;157900;"Hessen"
6531;"Gießen";2748;2;137400;"Hessen"
6532;"Lahn-Dill-Kreis";2602;1.9;136947.368421053;"Hessen"
6533;"Limburg-Weilburg";1947;2.2;88500;"Hessen"
6534;"Marburg-Biedenkopf";2429;1.9;127842.105263158;"Hessen"
6535;"Vogelsbergkreis";1100;1.9;57894.7368421053;"Hessen"
6611;"Kassel, documenta-Stadt";2558;2.6;98384.6153846154;"Hessen"
6631;"Fulda";2007;1.7;118058.823529412;"Hessen"
6632;"Hersfeld-Rotenburg";1281;2;64050;"Hessen"
6633;"Kassel";2447;2;122350;"Hessen"
6634;"Schwalm-Eder-Kreis";2014;2.1;95904.7619047619;"Hessen"
6635;"Waldeck-Frankenberg";1748;2;87400;"Hessen"
6636;"Werra-Meißner-Kreis";1088;2.1;51809.5238095238;"Hessen"
7111;"Koblenz, kreisfreie Stadt";1227;2.1;58428.5714285714;"Rheinland-Pfalz"
7131;"Ahrweiler";1307;2;65350;"Rheinland-Pfalz"
7132;"Altenkirchen (Westerwald)";1659;2.4;69125;"Rheinland-Pfalz"
7133;"Bad Kreuznach";1947;2.4;81125;"Rheinland-Pfalz"
7134;"Birkenfeld";1126;2.6;43307.6923076923;"Rheinland-Pfalz"
7135;"Cochem-Zell";573;1.7;33705.8823529412;"Rheinland-Pfalz"
7137;"Mayen-Koblenz";2324;2;116200;"Rheinland-Pfalz"
7138;"Neuwied";2155;2.3;93695.652173913;"Rheinland-Pfalz"
7140;"Rhein-Hunsrück-Kreis";1266;2.3;55043.4782608696;"Rheinland-Pfalz"
7141;"Rhein-Lahn-Kreis";1280;2;64000;"Rheinland-Pfalz"
7143;"Westerwaldkreis";2297;2.1;109380.952380952;"Rheinland-Pfalz"
7211;"Trier, kreisfreie Stadt";1436;2.6;55230.7692307692;"Rheinland-Pfalz"
7231;"Bernkastel-Wittlich";1279;2.1;60904.7619047619;"Rheinland-Pfalz"
7232;"Eifelkreis Bitburg-Prüm";945;1.9;49736.8421052632;"Rheinland-Pfalz"
7233;"Vulkaneifel";672;2.1;32000;"Rheinland-Pfalz"
7235;"Trier-Saarburg";1751;2.3;76130.4347826087;"Rheinland-Pfalz"
7311;"Frankenthal (Pfalz), kr.f. St.";545;2.3;23695.652173913;"Rheinland-Pfalz"
7312;"Kaiserslautern, kreisfr. Stadt";1412;2.8;50428.5714285714;"Rheinland-Pfalz"
