Month Year	Price	Change
Mar 1982	168.65 NA
Apr 1982	169.76	0.66
May 1982	167.55	-1.30
Jun 1982	155.79	-7.02
Jul 1982	151.75	-2.59
Aug 1982	152.49	0.49
Sep 1982	152.85	0.24
Oct 1982	146.61	-4.08
Nov 1982	155.06	5.76
Dec 1982	159.83	3.08
Jan 1983	164.98	3.22
Feb 1983	164.24	-0.45
Mar 1983	166.08	1.12
Apr 1983	167.18	0.66
May 1983	160.20	-4.18
Jun 1983	151.75	-5.27
Jul 1983	147.34	-2.91
Aug 1983	152.49	3.50
Sep 1983	156.53	2.65
Oct 1983	152.85	-2.35
Nov 1983	151.75	-0.72
Dec 1983	153.59	1.21
Jan 1984	152.85	-0.48
Feb 1984	150.65	-1.44
Mar 1984	153.96	2.20
Apr 1984	157.26	2.14
May 1984	153.96	-2.10
Jun 1984	149.91	-2.63
Jul 1984	146.97	-1.96
Aug 1984	152.49	3.76
Sep 1984	155.06	1.69
Oct 1984	152.85	-1.43
Nov 1984	152.49	-0.24
Dec 1984	149.55	-1.93
Jan 1985	149.18	-0.25
Feb 1985	147.34	-1.23
Mar 1985	145.14	-1.49
Apr 1985	143.67	-1.01
May 1985	136.32	-5.12
Jun 1985	134.11	-1.62
Jul 1985	128.60	-4.11
Aug 1985	123.09	-4.28
Sep 1985	125.30	1.80
Oct 1985	127.50	1.76
Nov 1985	132.64	4.03
Dec 1985	137.05	3.32
Jan 1986	132.28	-3.48
Feb 1986	129.71	-1.94
Mar 1986	134.48	3.68
Apr 1986	132.64	-1.37
May 1986	119.42	-9.97
Jun 1986	105.82	-11.39
Jul 1986	101.78	-3.82
Aug 1986	102.15	0.36
Sep 1986	103.62	1.44
Oct 1986	104.72	1.06
Nov 1986	105.09	0.35
Dec 1986	107.29	2.09
Jan 1987	109.13	1.71
Feb 1987	112.07	2.69
Mar 1987	115.38	2.95
Apr 1987	113.17	-1.92
May 1987	119.05	5.20
Jun 1987	108.76	-8.64
Jul 1987	104.72	-3.71
Aug 1987	106.92	2.10
Sep 1987	112.07	4.82
Oct 1987	113.91	1.64
Nov 1987	115.01	0.97
Dec 1987	124.56	8.30
Jan 1988	128.60	3.24
Feb 1988	131.54	2.29
Mar 1988	124.93	-5.03
Apr 1988	126.77	1.47
May 1988	128.97	1.74
Jun 1988	149.91	16.24
Jul 1988	149.55	-0.24
Aug 1988	149.91	0.24
Sep 1988	159.47	6.38
Oct 1988	162.04	1.61
Nov 1988	163.88	1.14
Dec 1988	166.82	1.79
Jan 1989	173.80	4.18
Feb 1989	172.06	-1.00
Mar 1989	178.21	3.57
Apr 1989	174.53	-2.06
May 1989	176.37	1.05
Jun 1989	168.65	-4.38
Jul 1989	166.82	-1.09
